id,hist_current,hist_xday,hist_30dpd,hist_60dpd,hist_npl,percentage,all_hist_current,all_hist_xday,all_hist_30dpd,all_hist_60dpd,all_hist_npl,all_hist_percentage,STATUS
487,2,0,0,0,0,1.0,2,1,0,0,0,0.6667,1
488,1,5,1,0,0,0.1429,24,8,2,0,0,0.7059,0
489,20,13,0,0,0,0.6061,47,18,0,0,0,0.7231,1
490,20,13,0,0,0,0.6061,47,18,0,0,0,0.7231,1
491,7,2,0,0,0,0.7778,7,2,0,0,0,0.7778,1
492,2,2,0,0,0,0.5,2,4,0,0,0,0.3333,1
493,2,2,0,0,0,0.5,2,4,0,0,0,0.3333,1
494,13,0,0,0,0,1.0,16,0,0,0,0,1.0,1
495,7,2,0,0,0,0.7778,7,2,0,0,0,0.7778,0
496,52,1,0,0,0,0.9811,52,1,0,0,0,0.9811,0
497,10,17,20,0,0,0.2128,10,17,20,0,0,0.2128,0
498,10,17,20,0,0,0.2128,10,17,20,0,0,0.2128,0
499,10,17,20,0,0,0.2128,10,17,20,0,0,0.2128,0
500,10,17,20,0,0,0.2128,10,17,20,0,0,0.2128,0
501,23,9,0,0,0,0.7188,57,30,0,0,0,0.6552,1
502,20,13,0,0,0,0.6061,47,18,0,0,0,0.7231,1
503,10,17,20,0,0,0.2128,10,17,20,0,0,0.2128,0
504,10,17,20,0,0,0.2128,10,17,20,0,0,0.2128,0
505,10,17,20,0,0,0.2128,10,17,20,0,0,0.2128,0
506,24,0,0,0,0,1.0,40,0,0,0,0,1.0,1
507,12,1,0,0,0,0.9231,16,1,0,0,0,0.9412,1
508,8,17,0,0,0,0.32,57,27,0,0,0,0.6786,1
509,0,2,2,2,0,0.0,42,13,5,2,0,0.6774,0
510,1,1,0,0,0,0.5,2,1,0,0,0,0.6667,1
511,57,12,0,0,0,0.8261,58,12,0,0,0,0.8286,0
512,2,0,0,0,0,1.0,6,0,0,0,0,1.0,1
513,2,0,0,0,0,1.0,2,0,0,0,0,1.0,1
514,20,9,0,0,0,0.6897,61,30,0,0,0,0.6703,1
515,24,0,0,0,0,1.0,40,0,0,0,0,1.0,1
516,2,2,0,0,0,0.5,2,4,0,0,0,0.3333,1
517,1,0,0,0,0,1.0,7,1,0,0,0,0.875,1
518,1,0,0,0,0,1.0,7,1,0,0,0,0.875,1
519,20,9,0,0,0,0.6897,61,30,0,0,0,0.6703,0
